season,round,pick,team,name,position,college,conference,day_of_birth,age,top_executive,link_ras,RAS,AllTime
2022,1,1,JAX,Travon Walker,DE,Georgia,SEC,2000-12-18,21.7,Trent Baalke,http://RAS.football/ras-information/?PlayerID=21463,9.99,9.99
2022,1,2,DET,Aidan Hutchinson,DE,Michigan,Big Ten,2000-08-09,22.06,Brad Holmes,http://RAS.football/ras-information/?PlayerID=21031,9.88,9.88
2022,1,3,HOU,Derek Stingley Jr.,CB,LSU,SEC,2001-06-20,21.2,Nick Caserio,http://RAS.football/ras-information/?PlayerID=21445,9,9
2022,1,4,NYJ,Sauce Gardner,CB,Cincinnati,The American,2000-08-31,22,Joe Douglas,http://RAS.football/ras-information/?PlayerID=21418,NA,NA
2022,1,5,NYG,Kayvon Thibodeaux,DE,Oregon,Pac-12,2000-12-15,21.71,Joe Schoen,http://RAS.football/ras-information/?PlayerID=18946,9.63,9.63
2022,1,6,CAR,Ikem Ekwonu,OT,NC State,ACC,2000-10-31,21.83,Scott Fitterer,http://RAS.football/ras-information/?PlayerID=21399,8.5,8.5
2022,1,7,NYG,Evan Neal,OT,Alabama,SEC,2000-09-19,21.95,Joe Schoen,http://RAS.football/ras-information/?PlayerID=21459,NA,NA
2022,1,8,ATL,Drake London,WR,USC,Pac-12,2001-07-24,21.11,Terry Fontenot,http://RAS.football/ras-information/?PlayerID=20970,NA,NA
2022,1,9,SEA,Charles Cross,OT,Mississippi State,SEC,2000-11-25,21.77,John Schneider,http://RAS.football/ras-information/?PlayerID=21136,7.57,7.57
2022,1,10,NYJ,Garrett Wilson,WR,Ohio State,Big Ten,2000-07-22,22.11,Joe Douglas,http://RAS.football/ras-information/?PlayerID=21380,7.78,7.78
2022,1,11,NO,Chris Olave,WR,Ohio State,Big Ten,2000-06-27,22.18,Mickey Loomis,http://RAS.football/ras-information/?PlayerID=21381,8.65,8.65
2022,1,12,DET,Jameson Williams,WR,Alabama,SEC,2001-03-26,21.43,Brad Holmes,http://RAS.football/ras-information/?PlayerID=21460,NA,NA
2022,1,13,PHI,Jordan Davis,DT,Georgia,SEC,2000-01-12,22.64,Howie Roseman,http://RAS.football/ras-information/?PlayerID=21551,10,10
2022,1,14,BAL,Kyle Hamilton,S,Notre Dame,Ind. (FBS),2001-03-16,21.46,Eric DeCosta,http://RAS.football/ras-information/?PlayerID=18989,9.32,9.32
2022,1,15,HOU,Kenyon Green,OG,Texas A&M,SEC,2001-03-15,21.46,Nick Caserio,http://RAS.football/ras-information/?PlayerID=21185,5.96,5.96
2022,1,16,WAS,Jahan Dotson,WR,Penn State,Big Ten,2000-03-22,22.44,Martin Mayhew,http://RAS.football/ras-information/?PlayerID=21120,6.34,6.34
2022,1,17,LAC,Zion Johnson,OG,Boston College,ACC,1999-11-18,22.79,Tom Telesco,http://RAS.football/ras-information/?PlayerID=21096,9.75,9.75
2022,1,18,TEN,Treylon Burks,WR,Arkansas,SEC,2000-03-23,22.44,Jon Robinson,http://RAS.football/ras-information/?PlayerID=20971,5.83,5.83
2022,1,19,NO,Trevor Penning,OT,Northern Iowa,MVFC,1999-05-15,23.3,Mickey Loomis,http://RAS.football/ras-information/?PlayerID=21103,9.95,9.95
2022,1,20,PIT,Kenny Pickett,QB,Pittsburgh,ACC,1998-06-06,24.24,Kevin Colbert,http://RAS.football/ras-information/?PlayerID=21034,9.55,9.55
2022,1,21,KC,Trent McDuffie,CB,Washington,Pac-12,2000-09-13,21.97,Brett Veach,http://RAS.football/ras-information/?PlayerID=21375,9.48,9.48
